"","distrito","barrio","precio","distancia_P_Ayuntamiento","distancia_CAC","distancia_Bioparc","distancia_Estacion","distancia_Malvarrosa","distancia_Torres","distancia_UV","distancia_Puerto","distancia_Albufera","distancia_Viveros","distancia_UPV","distancia_Mestalla","codbarrio","coddistrito","emt","metrovlc","renta_hogar","precio_barrio","cluster"
"1","EL PLA DEL REAL","MESTALLA",1.60272177542759,-0.435069167989277,-0.621757933802601,-0.0680173731515705,-0.421939604846801,-0.614889850312325,-0.385232711374499,-0.737016880362525,-0.553767629257847,0.0776053254075432,-0.515586456308516,-0.664547813264372,-0.857617330206861,-0.510812177921168,-0.531302164167411,1.35827641431676,0.838544297506952,0.920813896914916,1.45447150829153,3
"2","POBLATS DEL SUD","EL SALER",1.51191673117446,3.72590978284547,3.18650471289315,3.5717653951332,3.67412561409111,3.31180912939904,3.74941090395514,3.4652378723268,2.15086943362283,-4.44645933939823,3.76254138283055,3.54467823096834,3.68413030333747,0.751194379295836,1.96948216027575,-0.540965822224801,-0.551673879938784,0.0943502602173574,0.411644097198965,3
"3","PATRAIX","VARA DE QUART",1.46788939075319,0.0171996326196446,0.43136349064835,-0.537980918634119,-0.0765365294325169,0.829658224884775,0.153369599181434,0.701413618542135,0.87162992724806,0.0337118165835496,0.347386756705352,0.704723114522969,0.51774243345893,0.120191100687334,-0.146566114253079,-0.118911991882232,-0.551673879938784,-0.273699378048508,1.4904234313026,3
"4","JESUS","L'HORT DE SENABRE",1.43272120139976,-0.139613076405701,-0.0854084255079098,-0.251341068491926,-0.324482955846137,0.551990342419552,0.119559163068941,0.415405967393875,0.302400808417408,-0.438806903894529,0.263534640233601,0.478819969938864,0.281226662158044,-0.510812177921168,0.045801910704087,-0.435452364639159,-0.551673879938784,-0.567159684861893,1.29009481254929,3
"5","BENIMACLET","BENIMACLET",1.16115153698804,-0.20916354632487,-0.0597758585411742,-0.0866157475615525,-0.0934487605549542,-0.706550451684771,-0.447087454000188,-0.632954607082287,-0.16887831588269,0.608715938879162,-0.71806956662584,-0.80644427155426,-0.637809960228265,-1.14181545652967,1.00764203548992,0.514168753631622,1.53365338622982,-0.154957035032576,1.02716204073239,3
"6","CAMINS AL GRAU","PENYA-ROJA",1.10857765854636,-0.0833581207307306,-1.09269735812273,0.283752310939497,-0.168344917391493,-0.517446050361404,0.0601120135592287,-0.558429545452363,-1.04643471503438,-0.411290646278312,-0.0385498054814369,-0.400400614465338,-0.387860524768634,1.38219765790434,0.622905985575585,1.04173604155983,-0.551673879938784,2.10024288058134,1.25324483831163,3
"7","QUATRE CARRERES","LA FONTETA S.LLUIS",1.05963520950794,0.0460722262251636,-0.655926481292012,0.249556000894091,-0.145743233921264,0.230137942236373,0.311116018370826,0.14595955439518,-0.473499550403702,-0.910087335282509,0.346438817050847,0.276310147361973,0.15935834516264,0.751194379295836,0.238169935661253,-0.751992737396086,-0.551673879938784,-0.857055845518402,1.02623918723853,3
"8","CAMINS AL GRAU","CAMI FONDO",1.02119068287825,-0.250653906286491,-0.898002018188287,0.129531169269932,-0.300100946004024,-0.615577147172063,-0.138745776649625,-0.715517244843574,-0.850025221008863,-0.180192619006463,-0.254206277199758,-0.569874386386565,-0.618064297068671,0.751194379295836,0.622905985575585,-0.751992737396086,-0.551673879938784,-0.554066602492211,0.912137327884177,3
"9","ALGIROS","L'ILLA PERDUDA",0.775534164155907,0.110271379396523,-0.570300663041985,0.433192236758501,0.108929740570909,-0.98343210285397,0.108505254599932,-0.900269721774049,-1.13641515344839,-0.0487224034705763,-0.0827490963160903,-0.760707723702293,-0.452273356583324,-1.14181545652967,0.815274010532751,-0.96301965256737,-0.551673879938784,-0.347839509262208,0.871475652208332,3
"10","L'EIXAMPLE","EL PLA DEL REMEI",0.77311660997831,-0.721941561373889,-0.541159452014955,-0.301417806081875,-0.722123484716647,-0.31924637003965,-0.521725072046963,-0.439903611848844,-0.284324634500833,0.0499605584822469,-0.514756923081764,-0.397157547700773,-0.611229903929914,-0.510812177921168,-1.30077426399608,-0.0133985342965895,-0.551673879938784,4.09327806460255,0.686188568101794,3
"11","EL PLA DEL REAL","EXPOSICIO",0.740910601842564,-0.507159138418405,-0.369083829951208,-0.2171804235739,-0.425664022892711,-0.551771840232656,-0.580184001315092,-0.629162840454038,-0.292469837444174,0.298039488699516,-0.736682772096635,-0.650915927287981,-0.818498085370906,-1.14181545652967,-0.531302164167411,-0.435452364639159,0.143435208784084,2.52363693384023,1.14439562844157,3
"12","POBLATS MARITIMS","LA MALVA-ROSA",0.56471122823051,0.475762990134268,0.00851771731497643,0.694582308461384,0.534588039599899,-1.48221804448645,0.343020398601153,-0.691942887451461,-0.934503869347877,0.377097432623467,0.0976916407037473,-0.826611248499838,-0.157311033996651,0.120191100687334,0.430537960618419,0.936222583974192,-0.551673879938784,-0.805307978010961,0.439599109275299,3
"13","LA SAIDIA","TRINITAT",0.54994142931998,-0.447031222706233,-0.088557816055787,-0.3434978903377,-0.318876647487226,-0.43475453723104,-0.716732603057774,-0.44375066983308,-0.00570962663632193,0.540519755782677,-0.931050961601667,-0.54886538242565,-0.588808393808827,0.120191100687334,-0.723670189124577,-0.435452364639159,0.143435208784084,-0.167997407106767,0.478275231153086,3
"14","QUATRE CARRERES","MALILLA",0.522164827137534,-0.00621209471580397,-0.414879389492645,0.0945925679193133,-0.211684480890714,0.406573269744724,0.273411204316263,0.293032758157207,-0.14110804139664,-0.817451004876935,0.354410147769535,0.402450789379199,0.242521303712059,0.120191100687334,0.238169935661253,1.4637898719024,-0.551673879938784,-0.319508965678046,0.5571174630476,3
"15","CAMPANAR","SANT PAU",0.500613159620905,0.221684179459364,0.959505326344744,-0.796671035274388,0.300052756061385,0.775113139153716,0.0415659320692239,0.758521703163988,1.33200213520606,1.06013685245794,0.204804056215157,0.632032271812893,0.577047378459957,0.751194379295836,-0.916038214081743,0.936222583974192,-0.551673879938784,0.989981896961007,0.454784595822854,3
"16","EXTRAMURS","LA PETXINA",0.428911451747632,-0.494249208589485,0.128561191475083,-0.883923037821856,-0.464221573820278,0.239177121969105,-0.470315345628633,0.153086059423457,0.48754573435591,0.382773674619069,-0.272734130568828,0.111080138783984,-0.0445229718207346,0.120191100687334,-1.10840623903891,-0.118911991882232,-0.551673879938784,0.299067746087526,0.361578192623856,3
"17","CIUTAT VELLA","SANT FRANCESC",0.20422649837184,-0.922666771788145,-0.346278926334752,-0.485522820555222,-0.804400985417745,-0.144062866429318,-0.603408241833023,-0.2549715498269,-0.042581659911572,0.135599627389754,-0.496283614985954,-0.244063578471118,-0.444550680731495,2.01320093651284,-1.49314228895324,1.14724949914548,0.143435208784084,2.00317144537485,0.510490440801087,3
"18","PATRAIX","PATRAIX",0.120528626559971,-0.417105946726302,-0.024856894482594,-0.614604024732052,-0.53550994287754,0.382257849544988,-0.205325069766759,0.256181072068954,0.385494752410358,-0.0137735692630313,-0.0314443785305649,0.274573676901908,0.0766785381904777,-1.14181545652967,-0.146566114253079,0.619682211217265,-0.551673879938784,-0.230605610879003,0.352793220041346,3
