"neighbourhood_cleansed","puntuacion_media_normal","puntuacion_media"
"AIORA",1.50623750713878,6.02849264705882
"ALBORS",1.15583735909823,5.90111111111111
"ARRANCAPINS",1.1980594962131,7.06644209548147
"BENICALAP",1.50006387327542,5.90131578947368
"BENIFERRI",2.07742529840583,6.33040935672515
"BENIMACLET",2.01321669879059,6.44583059750492
"BENIMAMET",1.18009712421276,6.57068062827225
"BETERO",1.15145441463665,5.78014184397163
"CABANYAL-CANYAMELAR",1.20097158953706,7.14681587122282
"CAMI FONDO",1.99436763952893,6.09523809523809
"CAMPANAR",1.17219298693779,6.35252643948296
"CIUTAT DE LES ARTS I DE LES CIENCIES",1.19798018472825,7.06425309849967
"CIUTAT JARDI",1.45676295000905,5.00931677018634
"EL BOTANIC",1.5446733826379,6.82027168234065
"EL CALVARI",1.46912332623525,5.2639405204461
"EL CARME",1.56777209417176,7.29610513993828
"EL GRAU",1.16008902433893,6.01845707175446
"EL MERCAT",1.21920845526655,7.65015336535679
"EL PERELLONET",2.09609093985386,6.60292772186642
"EL PILAR",1.18911133553454,6.8194728607534
"EL PLA DEL REMEI",2.0508503948704,7.14581734458941
"EL SALER",2.05654666849173,7.25176803394625
"ELS ORRIOLS",1.12794510565946,5.13128491620112
"EN CORTS",1.54095936389646,6.74376289626712
"EXPOSICIO",1.98896082812888,5.99467140319716
"L'AMISTAT",1.47890661118816,5.46547619047619
"L'HORT DE SENABRE",2.02358296063691,6.63864306784661
"L'ILLA PERDUDA",1.98415928903361,5.90536277602524
"LA CARRASCA",1.51189662245317,6.14507042253521
"LA CREU DEL GRAU",1.16773219778706,6.22940865892291
"LA FONTETA S.LLUIS",1.96401141101602,5.53061224489796
"LA GRAN VIA",2.18225159504597,7.86087328767123
"LA MALVA-ROSA",1.98153604907637,5.85657051282051
"LA PETXINA",2.04176869299833,6.97689768976898
"LA PUNTA",1.17677505784923,6.47899159663866
"LA RAIOSA",1.16224551414769,6.07797619047619
"LA ROQUETA",1.18997146545605,6.84321244658705
"LA SEU",1.57583107005841,7.46212004320321
"LA VEGA BAIXA",1.51794645483966,6.26969696969697
"LA XEREA",1.20383197562439,7.22576252723312
"LES TENDETES",1.1923621522572,6.90919540229885
"MALILLA",2.00537634408602,6.3
"MARXALENES",1.55734223300971,7.08125
"MESTALLA",1.99371631320928,6.08312342569269
"MONT-OLIVET",1.16944313977293,6.2766306577328
"MORVEDRE",1.18352250587629,6.6652211621856
"NA ROVELLA",1.16418764302059,6.13157894736842
"NATZARET",1.49799807908166,5.85876042908224
"NOU MOLES",1.15354432158921,5.83782327586207
"PATRAIX",1.98561505256269,5.93243997766611
"PENYA-ROJA",2.03928081003901,6.93062306672559
"PINEDO",2.1995681568794,8.11369509043928
"RUSSAFA",1.20320499724508,7.20845792396412
"SANT ANTONI",1.5160031588238,6.22966507177034
"SANT FRANCESC",2.05844142685703,7.28701053954073
"SANT LLORENS",1.52405662633316,6.39556650246305
"SANT MARCEL.LI",1.47363274429001,5.3568345323741
"SANT PAU",2.13368389119223,8.68652037617555
"TORMOS",1.51546597251536,6.21859903381643
"TORREFIEL",1.17258144432057,6.36324786324786
"TRES FORQUES",1.16572834366277,6.17410228509249
"TRINITAT",2.00938877787293,6.37463126843658
"VARA DE QUART",1.95443836247365,5.35255354200988
